,offer_id,offer_type,adv_id,contractCode,kunlun_code,supid,traffic,country,created,type,adv_currency,revenue,t1,t2,outcome_dollar,cost,t3,t4
133,mld,OFLX_GA,S0186,CS2021081740,,,,KR,20230202000000,JSXMLX_1,USD,25800,0,0,,0,0,0
134,bat,OFLX_GA,SD2022062576,CS2022055559,,,,TW,20230202000000,JSXMLX_1,USD,301000,0,0,,0,0,0
135,aen,OFLX_GA,S0233,CS2021081982,,,,MY,20230202000000,JSXMLX_1,USD,60000,0,0,,0,0,0
136,mvt2,OFLX_GA,S0054,CS2022087122,G103678,YMCS201809008,,MY,20230202000000,JSXMLX_1,USD,3000,0,0,USD,0,0,0
137,nbd3,OFLX_GA,S0222,CS2021081952,112380,PCL20210109713,,ID,20230202000000,JSXMLX_1,USD,44000,0,0,USD,86500,0,0
138,dee,OFLX_GA,SD202107451,CS2021050826,,,,ID,20230202000000,JSXMLX_1,USD,10000,0,0,,0,0,0
139,pie,OFLX_GA,SD2022082988,CS2022076295,,,,FR,20230202000000,JSXMLX_1,USD,0,0,0,,0,0,0
140,mel2,OFLX_GA,S0186,CS2021081740,,,,SA,20230202000000,JSXMLX_1,USD,4000,0,0,,0,0,0
141,mpo2,OFLX_GA,S0129,CS2021050426,112114,PCS2020070001,,ID,20230202000000,JSXMLX_1,USD,5850,0,0,USD,80,0,0
142,phm2,OFLX_GA,S0199,CS2022045048,,,,KR,20230202000000,JSXMLX_1,USD,62100,0,0,,0,0,0
143,pdw,OFLX_GA,S0223,CS2021081831,G104986,PCS2020040003,,TW,20230202000000,JSXMLX_1,USD,2700,0,0,USD,365882,0,0
144,cwp,OFLX_GA,SD2022062533,CS2022076265,219,PCL20210108596,,DE,20230202000000,JSXMLX_1,USD,20000,0,0,USD,61890,0,0
145,fil,OFLX_GA,YH202109907,GZ2021092407,112380,PCL20210109713,,IN,20230202000000,JSXMLX_1,USD,10000,0,0,USD,400100,0,0
146,lit,OFLX_GA,SD202109889,CS2021092054,,,,MY,20230202000000,JSXMLX_1,USD,200000,0,0,,0,0,0
147,mvt2,OFLX_GA,S0054,CS2022087122,112114,PCS2020070001,,MX,20230202000000,JSXMLX_1,USD,1500,0,0,USD,0,0,0
148,nsg,OFLX_GA,SD202107498,CS2021061199,,,,PH,20230202000000,JSXMLX_1,USD,0,0,0,,0,0,0
149,ym,OFLX_GA,S0051,CS2021081797,G105025,,,KR,20230202000000,JSXMLX_1,USD,72200,0,0,,15892,0,0
150,mpa,OFLX_GA,SD2022062528,CS2022055462,,,,PH,20230202000000,JSXMLX_1,USD,260900,0,0,,0,0,0
151,sgd,OFLX_GA,S0073,CS2022066001,,,,VN,20230202000000,JSXMLX_1,USD,12200,0,0,,0,0,0
152,pdw,OFLX_GA,S0223,CS2021081831,112114,PCS2020070001,,MY,20230202000000,JSXMLX_1,USD,3400,0,0,USD,0,0,0
153,adu,OFLX_GA,SD2022042281,CS2022034891,,,,ID,20230202000000,JSXMLX_1,USD,58800,0,0,,0,0,0
154,sgd,OFLX_GA,S0073,CS2022066001,,,,IN,20230202000000,JSXMLX_1,USD,68300,0,0,,0,0,0
155,mvt2,OFLX_GA,S0054,CS2022087122,,,,US,20230202000000,JSXMLX_1,USD,738500,0,0,,0,0,0
156,pdw,OFLX_GA,S0223,CS2021081831,,,,AE,20230202000000,JSXMLX_1,USD,3000,0,0,,0,0,0
157,phm2,OFLX_GA,S0199,CS2022045048,,,,RU,20230202000000,JSXMLX_1,USD,4000,0,0,,0,0,0
158,omb,OFLX_GA,SD2022052483,CS2022055467,,,,RU,20230202000000,JSXMLX_1,USD,108000,0,0,,0,0,0
159,pap,OFLX_GA,SD2021121650,CS2021123197,,,,IN,20230202000000,JSXMLX_1,USD,1064000,0,0,,0,0,0
160,mar,OFLX_GA,SD2021121352,CS2021113033,112380,PCL20210109713,,IT,20230202000000,JSXMLX_1,USD,400000,0,0,USD,600400,0,0
161,cam,OFLX_GA,S0103,CS2022076323,,,,IN,20230202000000,JSXMLX_1,USD,760000,0,0,,0,0,0
162,jsd,OFLX_GA,S0239,CS2021092333,219,PCL20210108596,,VN,20230202000000,JSXMLX_1,USD,53600,0,0,USD,51840,0,0
163,mpa,OFLX_GA,SD2022062528,CS2022055462,112114,PCS2020070001,,RU,20230202000000,JSXMLX_1,USD,47500,0,0,USD,24345,0,0
164,lit,OFLX_GA,SD202109889,CS2021092054,,,,VN,20230202000000,JSXMLX_1,USD,525000,0,0,,0,0,0
165,ttt,OFLX_GA,SD2022082985,CS2022076390,219,PCL20210108596,,IN,20230202000000,JSXMLX_1,USD,115,0,0,USD,12570,0,0
166,okx,OFLX_GA,SD2022083240,CS2022086971,219,PCL20210108596,,RU,20230202000000,JSXMLX_1,USD,60000,0,0,USD,57450,0,0
167,ym,OFLX_GA,S0051,CS2021081797,,,,IN,20230202000000,JSXMLX_1,USD,135240,0,0,,0,0,0
168,mbm,OFLX_GA,S0150,CS2021081704,112380,PCL20210109713,,US,20230202000000,JSXMLX_1,USD,3591000,0,0,USD,39900,0,0
169,pdw,OFLX_GA,S0223,CS2021081831,112114,PCS2020070001,,VN,20230202000000,JSXMLX_1,USD,3000,0,0,USD,0,0,0
170,pdw,OFLX_GA,S0223,CS2021081831,G105025,,,KR,20230202000000,JSXMLX_1,USD,10000,0,0,,7271,0,0
171,tta,OFLX_GA,SD2022082985,CS2022076390,,,,PH,20230202000000,JSXMLX_1,USD,6600,0,0,,0,0,0
172,mbm,OFLX_GA,S0150,CS2021081704,219,PCL20210108596,,TR,20230202000000,JSXMLX_1,USD,72000,0,0,USD,61800,0,0
173,ttt,OFLX_GA,SD2022082985,CS2022076390,219,PCL20210108596,,SA,20230202000000,JSXMLX_1,USD,80271,0,0,USD,88950,0,0
174,cam,OFLX_GA,S0103,CS2022076323,,,,VN,20230202000000,JSXMLX_1,USD,0,0,0,,0,0,0
175,mvt2,OFLX_GA,S0054,CS2022087122,112114,PCS2020070001,,CL,20230202000000,JSXMLX_1,USD,1500,0,0,USD,0,0,0
176,aen,OFLX_GA,S0233,CS2021081982,,,,IN,20230202000000,JSXMLX_1,USD,7806400,0,0,,0,0,0
177,fil,OFLX_GA,YH202109907,GZ2021092407,,,,IN,20230202000000,JSXMLX_1,USD,220000,0,0,,0,0,0
178,glb1,OFLX_GA,SD2022032059,CS2021123655,,,,IN,20230202000000,JSXMLX_1,USD,26240,0,0,,0,0,0
179,ym,OFLX_GA,S0051,CS2021081797,,,,TW,20230202000000,JSXMLX_1,USD,15000,0,0,,0,0,0
180,ntm,OFLX_GA,SD2022083249,CS2022086926,,,,US,20230202000000,JSXMLX_1,USD,0,0,0,,0,0,0
181,bis,OFLX_GA,SD2022032091,CS2022034592,,,,US,20230202000000,JSXMLX_1,USD,140000,0,0,,0,0,0
182,phm2,OFLX_GA,S0199,CS2022045048,G104016,P-CS-2019127194,,ZA,20230202000000,JSXMLX_1,USD,36000,0,0,USD,0,0,0
183,nsm2,OFLX_GA,S0263,CS2021102560,,,,BR,20230202000000,JSXMLX_1,USD,152000,0,0,,0,0,0
184,zon,OFLX_GA,SD2022083163,CS2022086857,219,PCL20210108596,,VN,20230202000000,JSXMLX_1,USD,2400,0,0,USD,3000,0,0
185,aha,OFLX_GA,S0257,CS2022014014,,,,PH,20230202000000,JSXMLX_1,USD,40000,0,0,,0,0,0
186,obs,OFLX_GA,SD2022072896,CS2022066030,,,,VN,20230202000000,JSXMLX_1,USD,64000,0,0,,0,0,0
187,pdw,OFLX_GA,S0223,CS2021081831,G104636,YMCS201909004,,US,20230202000000,JSXMLX_1,USD,4000,0,0,USD,0,0,0
188,aen,OFLX_GA,S0233,CS2021081982,,,,VN,20230202000000,JSXMLX_1,USD,573600,0,0,,0,0,0
189,lit,OFLX_GA,SD202109889,CS2021092054,,,,JP,20230202000000,JSXMLX_1,USD,144000,0,0,,0,0,0
190,inm2,OFLX_GA,S0238,CS2022118352,219,PCL20210108596,,IN,20230202000000,JSXMLX_1,USD,83600,0,0,USD,131160,0,0
191,fom,OFLX_GA,SD2022062720,CS2022066024,,,,DE,20230202000000,JSXMLX_1,USD,192000,0,0,,0,0,0
